77,20,12,22,21,26,26,72,122,150,0
60,24,16,28,30,32,39,76,114,133,0
74,49,37,49,66,80,96,115,130,141,0
106,85,69,71,89,115,140,152,150,151,0
111,71,69,73,87,114,144,159,156,144,0
80,76,72,64,69,94,118,146,138,116,0
65,56,44,44,51,66,72,96,104,107,0
45,24,7,8,11,14,13,33,57,88,0
45,35,18,17,21,21,23,40,68,107,0
61,50,37,32,38,46,58,77,99,129,0
69,70,69,69,72,86,105,119,117,114,0
84,86,87,89,91,110,139,166,157,115,0
89,87,81,83,91,106,129,158,152,113,0
79,79,79,86,95,102,127,136,146,113,0
73,63,53,50,55,60,77,103,129,116,0
60,43,23,15,15,15,13,37,67,86,0
62,39,13,8,11,13,12,34,60,87,0
63,42,21,17,25,31,40,67,84,100,0
68,62,55,50,56,64,87,111,115,111,0
80,83,86,79,77,92,131,152,158,134,0
75,83,84,78,69,82,124,139,157,137,0
79,86,78,72,84,96,108,137,161,133,0
65,65,57,48,54,62,71,95,121,122,0
56,59,37,24,23,25,26,42,69,98,0
65,56,24,13,17,19,14,24,48,80,0
59,49,15,3,7,14,19,29,50,81,0
60,55,26,5,13,25,39,44,62,83,0
62,58,38,22,36,52,63,70,86,86,0
